yearmonth,volatility
2000-10-31,1.2653996290157831e-05
2000-11-30,1.703789590012988e-05
2000-12-31,1.87598542745707e-05
2001-01-31,2.2703559080171362e-05
2001-02-28,7.179585838339873e-05
2001-03-31,0.00017743339983841046
2001-04-30,0.00012454214853389772
2001-05-31,4.717308360963922e-05
2001-06-30,3.3946039699962315e-05
2001-07-31,0.00010481141973017681
2001-08-31,0.00019266097061854698
2001-09-30,0.00026145088500910516
2001-10-31,9.332111156106938e-05
2001-11-30,3.874285452135243e-05
2001-12-31,4.55937325104201e-05
2002-01-31,0.00015041861461876285
2002-02-28,7.406622857517537e-05
2002-03-31,4.457249743192299e-06
2002-04-30,0.00014942939768560417
2002-05-31,0.00013134619178810941
2002-06-30,0.00010351245426347554
2002-07-31,0.00025472363900306974
2002-08-31,0.00030234533561706846
2002-09-30,2.9418616849808363e-05
2002-10-31,6.939903415406171e-06
2002-11-30,1.7879546300430647e-06
2002-12-31,1.2662939262128908e-06
2003-01-31,1.3507799327331291e-06
2003-02-28,1.5560521570137874e-06
2003-03-31,1.7169318278638272e-06
2003-04-30,1.3983624998928854e-06
2003-05-31,1.1490867733335526e-06
2003-06-30,1.0246517448674917e-06
2003-07-31,1.0276395466573196e-06
2003-08-31,8.591888909906813e-07
2003-09-30,5.961969479701922e-07
2003-10-31,5.640779509088928e-07
2003-11-30,5.136562369210521e-07
2003-12-31,3.5321430307419147e-07
2004-01-31,4.986111370944995e-07
2004-02-29,4.616025190036458e-07
2004-03-31,6.289432416260931e-07
2004-04-30,6.01129646382627e-07
2004-05-31,7.769517083834725e-07
2004-06-30,3.105501293797033e-07
2004-07-31,5.82198567520594e-07
2004-08-31,4.5794807882396746e-07
2004-09-30,5.986542642007992e-07
2004-10-31,4.38489436375266e-07
2004-11-30,9.155478589791714e-07
2004-12-31,3.188491882483833e-07
2005-01-31,4.220291812213288e-07
2005-02-28,3.1443136051823106e-07
2005-03-31,4.0907877173407565e-07
2005-04-30,0.0001937891640689487
2005-05-31,5.010719187650272e-07
2005-06-30,8.767988829033123e-07
2005-07-31,3.170470709014833e-07
2005-08-31,4.0745717853020774e-07
2005-09-30,5.276614830507435e-07
2005-10-31,7.271502841021278e-07
2005-11-30,0.00020216411518650618
2005-12-31,6.325552180511177e-07
2006-01-31,3.5547426493128345e-07
2006-02-28,4.147166700833048e-07
2006-03-31,8.065507841044408e-07
2006-04-30,9.966012042677489e-07
2006-05-31,5.622018103936825e-07
2006-06-30,7.348379570544444e-07
2006-07-31,5.428946456946609e-07
2006-08-31,1.0533115071901581e-06
2006-09-30,5.480112473611148e-07
2006-10-31,3.363236887727493e-07
2006-11-30,8.297575873281168e-07
2006-12-31,6.265389568730248e-07
2007-01-31,3.097223363909769e-07
2007-02-28,3.6685323071600595e-07
2007-03-31,5.6707230542822845e-06
2007-04-30,6.349004723307965e-07
2007-05-31,6.034123729428629e-07
2007-06-30,7.836752339967628e-07
2007-07-31,8.989781218173766e-07
2007-08-31,2.6569553105827888e-06
2007-09-30,7.886637387502167e-07
2007-10-31,1.3967694997183465e-06
2007-11-30,2.1016227939546835e-06
2007-12-31,1.1056482243706852e-06
